year,median,min,max,p10,p90
1950,5.423,4.651,6.535,5.114,6.192
1951,5.588,4.575,6.247,4.761,6.132
1952,5.588,4.714,6.493,4.885,6.066
1953,5.343,4.444,6.572,4.569,6.002
1954,5.381,4.003,6.284,4.742,5.975
1955,5.198,4.217,6.121,4.543,5.713
1956,5.346,4.303,6.214,4.731,6.117
1957,5.543,4.645,6.257,4.928,6.245
1958,5.693,4.186,6.583,4.870,6.449
1959,5.361,3.769,6.174,4.543,6.027
1960,5.855,4.653,6.564,5.120,6.412
1961,5.434,4.173,7.430,4.612,5.843
1962,5.362,4.539,6.399,4.783,6.087
1963,5.166,4.175,6.485,4.460,5.950
1964,5.100,3.014,6.656,4.559,6.153
1965,5.343,4.108,5.910,4.219,5.661
1966,5.486,4.014,6.673,4.567,6.057
1967,5.257,4.484,6.585,4.794,6.002
1968,5.258,3.789,6.224,4.548,6.074
1969,5.192,4.220,7.147,4.665,5.997
1970,5.246,4.603,6.392,4.954,5.923
1971,5.218,4.795,6.222,4.868,5.771
1972,5.588,4.920,6.283,5.218,6.052
1973,5.776,4.499,6.462,4.946,6.149
1974,5.414,4.120,7.425,5.081,6.253
1975,5.294,4.536,7.137,4.777,6.443
1976,5.385,4.238,6.779,4.680,6.553
1977,5.594,3.806,6.542,4.713,5.864
1978,5.645,4.962,6.520,5.193,5.936
1979,5.767,4.191,6.802,5.070,6.753
1980,5.468,4.539,6.611,4.931,6.294
1981,5.751,4.902,7.558,5.345,6.398
1982,5.657,4.949,6.881,5.133,6.365
1983,5.336,4.556,6.433,4.967,5.979
1984,5.655,4.538,6.745,4.814,6.462
1985,5.758,4.160,6.528,5.344,6.110
1986,6.035,4.663,6.876,5.123,6.721
1987,6.030,4.723,6.419,5.008,6.320
1988,5.767,4.452,6.598,4.551,6.206
1989,6.110,4.686,6.751,5.250,6.695
1990,5.776,4.910,7.371,5.069,6.907
1991,6.283,5.167,7.761,5.451,6.990
1992,5.141,4.395,6.983,4.734,6.034
1993,5.634,4.810,6.580,5.033,5.990
1994,5.729,4.647,6.853,5.243,6.447
1995,5.850,4.982,6.736,5.340,6.405
1996,5.991,4.850,7.208,5.240,6.700
1997,5.977,5.377,7.293,5.384,6.865
1998,6.018,5.373,7.118,5.558,6.850
1999,6.436,5.364,7.138,5.527,6.832
2000,6.349,4.952,7.442,5.500,6.942
2001,6.192,5.137,7.205,5.414,6.875
2002,6.294,5.273,7.522,5.671,6.804
2003,5.998,5.228,7.742,5.462,6.944
2004,5.962,4.948,7.251,5.398,7.019
2005,6.231,5.046,8.419,5.735,7.229
